batch_time_avg,batch_time_cv_percent,batch_time_max,batch_time_max_min_ratio,batch_time_min,batches_per_second,decoder_loss,epoch,step,train_loss,val/decoder_loss,val_loss
,,,,,,39.297752380371094,0,49,17.406566619873047,,
0.26674672961235046,185.7751922607422,3.7232797145843506,38.29692459106445,0.09722137451171875,3.7488746643066406,6.998854637145996,0,99,11.556608200073242,,
,,,,,,,0,99,,9.429315567016602,11.424936294555664
0.14242346584796906,15.664704322814941,0.20049047470092773,5.232388019561768,0.038317203521728516,7.02131462097168,3.2199339866638184,0,149,7.240604400634766,,
0.14290904998779297,28.507226943969727,0.19719839096069336,6.984133720397949,0.028235197067260742,6.997457027435303,2.039936065673828,0,199,5.407036304473877,,
,,,,,,,0,199,,5.5065016746521,5.435177326202393
,,,,,,1.8730792999267578,1,249,4.768662452697754,,
0.09716851264238358,65.59217834472656,0.21207213401794434,8.275988578796387,0.025624990463256836,10.291399955749512,1.7114744186401367,1,299,4.363448143005371,,
,,,,,,,1,299,,5.247251033782959,4.437740325927734
0.12105831503868103,30.96552848815918,0.21337080001831055,7.5178046226501465,0.028382062911987305,8.260481834411621,2.287588119506836,1,349,4.069202423095703,,
0.14277523756027222,13.459521293640137,0.1900327205657959,1.7645710706710815,0.10769343376159668,7.0040154457092285,1.4759817123413086,1,399,3.374513626098633,,
,,,,,,,1,399,,4.852943420410156,3.5579071044921875
0.1410628706216812,29.159799575805664,0.20025920867919922,4.699404239654541,0.04261374473571777,7.089037895202637,1.6625795364379883,1,449,3.3033974170684814,,
,,,,,,1.458566665649414,2,499,2.9638655185699463,,
,,,,,,,2,499,,4.6943440437316895,3.198345899581909
0.1298954039812088,32.12138366699219,0.2039623260498047,7.180761337280273,0.02840399742126465,7.6985015869140625,1.4368047714233398,2,549,2.8108673095703125,,
0.1604474037885666,14.169206619262695,0.21684861183166504,1.8618965148925781,0.11646652221679688,6.232572078704834,1.5403327941894531,2,599,2.7564353942871094,,
,,,,,,,2,599,,4.320681095123291,2.896200656890869
0.12884049117565155,29.006885528564453,0.21559429168701172,6.382873058319092,0.03377699851989746,7.761535167694092,1.960188865661621,2,649,2.9493677616119385,,
0.14838536083698273,14.857881546020508,0.19439148902893066,1.8088371753692627,0.1074676513671875,6.739209175109863,1.447657585144043,2,699,2.5751230716705322,,
,,,,,,,2,699,,3.919710636138916,2.745617151260376
,,,,,,1.3188323974609375,3,749,2.516467809677124,,
0.10667536407709122,56.097572326660156,0.236236572265625,9.604125022888184,0.0245974063873291,9.374236106872559,1.6304388046264648,3,799,2.7589521408081055,,
,,,,,,,3,799,,3.5103919506073,2.6830544471740723
0.13306909799575806,24.277957916259766,0.16578078269958496,4.0815863609313965,0.040616750717163086,7.514893054962158,1.8856573104858398,3,849,2.9787352085113525,,
0.2020694762468338,144.46681213378906,2.2380905151367188,19.269180297851562,0.11614871025085449,4.948792934417725,1.3666133880615234,3,899,2.3917410373687744,,
,,,,,,,3,899,,3.1542305946350098,2.566723346710205
0.12402491271495819,27.08090591430664,0.19728875160217285,4.833266258239746,0.04081892967224121,8.062896728515625,1.9006567001342773,3,949,2.6561572551727295,,
,,,,,,1.6738433837890625,4,999,2.4441215991973877,,
,,,,,,,4,999,,3.1054165363311768,2.4325151443481445
0.12099612504243851,37.87510299682617,0.2115626335144043,8.205109596252441,0.02578425407409668,8.264727592468262,1.4666500091552734,4,1049,2.427969455718994,,
0.14701205492019653,16.016738891601562,0.20556187629699707,2.102874279022217,0.09775280952453613,6.802163124084473,1.7498044967651367,4,1099,2.5175673961639404,,
,,,,,,,4,1099,,2.6637442111968994,2.410888910293579
0.12499909102916718,26.51042938232422,0.18562984466552734,3.83382248878479,0.04841899871826172,8.0000581741333,2.1748437881469727,4,1149,2.809457302093506,,
0.13351476192474365,17.443788528442383,0.1866455078125,2.4807662963867188,0.07523703575134277,7.489808559417725,1.4530134201049805,4,1199,2.396550416946411,,
,,,,,,,4,1199,,2.568251609802246,2.3423845767974854
,,,,,,1.314687728881836,5,1249,2.2275924682617188,,
0.12694844603538513,42.2098388671875,0.20066142082214355,7.8382039070129395,0.025600433349609375,7.877213478088379,1.3003549575805664,5,1299,2.138615846633911,,
,,,,,,,5,1299,,2.3016743659973145,2.289799690246582
0.13080546259880066,25.6568660736084,0.1894209384918213,4.5939621925354,0.04123258590698242,7.6449408531188965,2.284069061279297,5,1349,2.5731470584869385,,
0.1486048549413681,15.205734252929688,0.21259069442749023,2.1176440715789795,0.10039019584655762,6.729255199432373,1.5270938873291016,5,1399,2.4100866317749023,,
,,,,,,,5,1399,,2.1184542179107666,2.259345054626465
0.13420981168746948,28.973661422729492,0.21486711502075195,7.5224995613098145,0.028563261032104492,7.451020240783691,1.3504209518432617,5,1449,2.118028163909912,,
,,,,,,1.3580188751220703,6,1499,2.140732765197754,,
,,,,,,,6,1499,,2.280792236328125,2.211127519607544
0.12322990596294403,32.127689361572266,0.20986437797546387,7.4585442543029785,0.0281374454498291,8.114912986755371,1.2318487167358398,6,1549,1.791626214981079,,
0.15575160086154938,13.570450782775879,0.20877885818481445,1.9980376958847046,0.1044919490814209,6.420479774475098,1.4530038833618164,6,1599,1.9210829734802246,,
,,,,,,,6,1599,,2.0174760818481445,1.923236608505249
0.13047708570957184,26.248205184936523,0.19997620582580566,4.8555989265441895,0.04118466377258301,7.664181232452393,1.3287773132324219,6,1649,1.6722571849822998,,
0.15170326828956604,15.562278747558594,0.2452702522277832,2.1962106227874756,0.1116788387298584,6.591815948486328,1.203221321105957,6,1699,1.557013750076294,,
,,,,,,,6,1699,,2.0291011333465576,1.7304240465164185
,,,,,,1.2875185012817383,7,1749,1.5492265224456787,,
0.13386861979961395,31.34885025024414,0.21715021133422852,8.472423553466797,0.02563023567199707,7.470010757446289,1.4284696578979492,7,1799,1.5740058422088623,,
,,,,,,,7,1799,,1.8370388746261597,1.639661192893982
0.14052416384220123,24.208105087280273,0.19539403915405273,4.281985282897949,0.04563164710998535,7.116213798522949,6.5803046226501465,7,1849,3.6213231086730957,,
0.13977520167827606,17.694103240966797,0.20151662826538086,2.081315040588379,0.09682178497314453,7.1543450355529785,1.300267219543457,7,1899,1.451061487197876,,
,,,,,,,7,1899,,1.9173864126205444,1.5236194133758545
0.13031543791294098,31.89719009399414,0.19551515579223633,6.01125955581665,0.032524824142456055,7.6736884117126465,2.013528823852539,7,1949,1.9337210655212402,,
,,,,,,1.17633056640625,8,1999,1.3319637775421143,,
,,,,,,,8,1999,,1.7921561002731323,1.5080472230911255
0.09710422903299332,57.48114013671875,0.21029353141784668,8.279142379760742,0.025400400161743164,10.298213005065918,1.1430654525756836,8,2049,1.3165340423583984,,
0.14397379755973816,22.561689376831055,0.2300090789794922,4.424890995025635,0.05198073387145996,6.945708274841309,1.3876962661743164,8,2099,1.5288794040679932,,
